,Review Title,Up Votes,Down Votes,Month,Review text,Ratings,Year,Sentiment
1115,Did not meet expectations,0.0,0.0,Feb,Very bad productREAD MORE,1,2022,Negative
1116,Must buy!,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1117,Bad quality,0.0,0.0,Feb,Very worst shuttlesREAD MORE,2,2022,Negative
1118,Fabulous!,0.0,1.0,Feb,Perfect one to play with orginal product.READ MORE,5,2022,Positive
1119,Could be way better,0.0,0.0,Feb,There are not last long enough poor qualityREAD MORE,2,2022,Negative
1120,Classy product,0.0,0.0,Feb,SuperREAD MORE,5,2022,Positive
1121,Brilliant,0.0,0.0,Feb,one of the best shuttles i’ve has playedREAD MORE,5,2022,Positive
1122,Highly recommended,0.0,0.0,Feb,Fantastic...READ MORE,5,2022,Positive
1123,Terrific,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1124,Just wow!,0.0,0.0,Feb,Good one.READ MORE,5,2022,Positive
1125,Wonderful,0.0,0.0,Feb,BestREAD MORE,5,2022,Positive
1126,Wonderful,0.0,0.0,Feb,Good....READ MORE,4,2022,Positive
1127,Mind-blowing purchase,0.0,0.0,Feb,NiceREAD MORE,5,2022,Positive
1128,Really Nice,0.0,0.0,Feb,GoodREAD MORE,4,2022,Positive
1129,Decent product,0.0,0.0,Feb,AverageREAD MORE,3,2022,Neutral
1130,Absolute rubbish!,0.0,0.0,Feb,"Very bad quality, this ball box worst,READ MORE",1,2022,Negative
1131,Terrific,0.0,0.0,Feb,Nice productREAD MORE,5,2022,Positive
1132,Terrific,0.0,0.0,Feb,"Super, not compare with any other products. That quality is awesome.READ MORE",5,2022,Positive
1133,Perfect product!,0.0,0.0,Feb,Good qualityREAD MORE,5,2022,Positive
1134,Great product,0.0,0.0,Feb,NiceREAD MORE,5,2022,Positive
1135,Awesome,0.0,0.0,Feb,ExcellentREAD MORE,5,2022,Positive
1136,Nice product,0.0,0.0,Feb,I'm order product in original is received so happy thanksREAD MORE,4,2022,Positive
1137,Best in the market!,0.0,0.0,Feb,Very niceREAD MORE,5,2022,Positive
1138,Worth every penny,0.0,0.0,Feb,NiceREAD MORE,5,2022,Positive
1139,Good quality product,0.0,0.0,Feb,NiceREAD MORE,4,2022,Positive
1140,Perfect product!,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1141,Fabulous!,0.0,0.0,Feb,Original product long lastingREAD MORE,5,2022,Positive
1142,Fabulous!,0.0,0.0,Feb,Super quality product... TQ FLIPKARTREAD MORE,5,2022,Positive
1143,Worth every penny,0.0,0.0,Feb,SuperREAD MORE,5,2022,Positive
1144,Awesome,0.0,0.0,Feb,Good goodREAD MORE,5,2022,Positive
1145,Great product,0.0,0.0,Feb,good quality and long lifeREAD MORE,5,2022,Positive
1146,Really Nice,0.0,0.0,Feb,GoodREAD MORE,4,2022,Positive
1147,Decent product,0.0,0.0,Feb,Not happyREAD MORE,3,2022,Neutral
1148,Simply awesome,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1149,Simply awesome,0.0,0.0,Feb,It's good to playREAD MORE,5,2022,Positive
1150,Fabulous!,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1151,Wonderful,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1152,Simply awesome,0.0,0.0,Feb,Best for allREAD MORE,5,2022,Positive
1153,Terrific purchase,0.0,0.0,Feb,NiceREAD MORE,5,2022,Positive
1154,Best in the market!,0.0,0.0,Feb,GenuineREAD MORE,5,2022,Positive
1155,Perfect product!,0.0,0.0,Feb,GoodREAD MORE,5,2022,Positive
1156,Must buy!,0.0,0.0,Feb,Nice qualityREAD MORE,5,2022,Positive
1157,Fabulous!,0.0,0.0,Jan,Very goodREAD MORE,5,2022,Positive
1158,Worth the money,0.0,0.0,Jan,GoodREAD MORE,4,2022,Positive
1159,Classy product,0.0,0.0,Jan,goodREAD MORE,5,2022,Positive
1160,Fabulous!,0.0,0.0,Jan,SuperREAD MORE,5,2022,Positive
1161,Worst experience ever!,0.0,0.0,Jan,Shuttle cork has been separated with in 1 hoursREAD MORE,1,2022,Negative
1162,Terrific purchase,0.0,0.0,Jan,Best I loved itREAD MORE,5,2022,Positive
1163,Super!,0.0,0.0,Jan,Good productREAD MORE,5,2022,Positive
1164,Fabulous!,0.0,0.0,Jan,OriginalREAD MORE,5,2022,Positive
1165,Worth every penny,0.0,0.0,Jan,Excellent.... It's the Original product...!! Superb & DurableREAD MORE,5,2022,Positive
1166,Nice product,0.0,0.0,Jan,Good pricingREAD MORE,4,2022,Positive
1167,Wonderful,0.0,0.0,Jan,"Perfect quality, perfect paking and perfect delivery time as we have expected.READ MORE",5,2022,Positive
1168,Classy product,0.0,0.0,Jan,Best for beginnersREAD MORE,5,2022,Positive
1169,Worthless,0.0,0.0,Jan,Very worst quality.READ MORE,1,2022,Negative
1170,Moderate,0.0,0.0,Jan,Quality was not good at all. Did not last long like the ones we bought locally of the same brand and modelREAD MORE,2,2022,Negative
1171,Fabulous!,0.0,0.0,Jan,This is  vary nice productREAD MORE,5,2022,Positive
1172,Worth the money,0.0,0.0,Jan,Good shuttleREAD MORE,4,2022,Positive
1173,Must buy!,0.0,0.0,Jan,Nice product 🌹🤩🥰🌹READ MORE,5,2022,Positive
1174,Classy product,0.0,0.0,Jan,Regular customer. Perfect as alwaysREAD MORE,5,2022,Positive
1175,Wonderful,0.0,0.0,Jan,Good qualityREAD MORE,4,2022,Positive
1176,Fair,0.0,0.0,Jan,Not badREAD MORE,3,2022,Neutral
1177,Classy product,0.0,0.0,Jan,Nice oneREAD MORE,5,2022,Positive
1178,Terrific purchase,0.0,0.0,Jan,"really original,,READ MORE",5,2022,Positive
1179,Did not meet expectations,0.0,0.0,Jan,Product not goodREAD MORE,1,2022,Negative
1180,Horrible,0.0,0.0,Jan,Very bad itemREAD MORE,1,2022,Negative
1181,Could be way better,0.0,0.0,Jan,Not good am not impressedREAD MORE,2,2022,Negative
1182,Mind-blowing purchase,0.0,0.0,Jan,GoodREAD MORE,5,2022,Positive
1183,Expected a better product,0.0,0.0,Jan,"Not good quality this time , not durableREAD MORE",2,2022,Negative
1184,Super!,0.0,0.0,Jan,Awesome ❤❤READ MORE,5,2022,Positive
1185,Terrific,0.0,0.0,Jan,Best product worth for moneyREAD MORE,5,2022,Positive
1186,Must buy!,0.0,0.0,Jan,ExcellentREAD MORE,5,2022,Positive
1187,Terrific purchase,0.0,0.0,Jan,Nice productREAD MORE,5,2022,Positive
1188,Delightful,0.0,0.0,Jan,Very niceREAD MORE,4,2022,Positive
1189,Slightly disappointed,0.0,0.0,Jan,Bad life.. tore easilyREAD MORE,2,2022,Negative
1190,Expected a better product,0.0,0.0,Jan,Not goodREAD MORE,2,2022,Negative
1191,Worth every penny,0.0,0.0,Jan,SuperREAD MORE,5,2022,Positive
1192,Delightful,0.0,0.0,Jan,Good productREAD MORE,4,2022,Positive
1193,Classy product,0.0,0.0,Jan,Mavis is masivREAD MORE,5,2022,Positive
1194,Terrific purchase,0.0,0.0,Jan,Nice 👍👌READ MORE,5,2022,Positive
1195,Pretty good,0.0,0.0,Jan,SuperbREAD MORE,4,2022,Positive
1196,Delightful,0.0,0.0,Jan,GoodREAD MORE,4,2022,Positive
1197,Super!,0.0,0.0,Jan,Worth every penny...READ MORE,5,2022,Positive
1198,Delightful,0.0,0.0,Jan,Very goodREAD MORE,4,2022,Positive
1199,Decent product,0.0,0.0,Jan,Price is toooo high..READ MORE,3,2022,Neutral
1200,Fabulous!,0.0,1.0,Jan,"Original product, I've been playing for more than 5 yrs. No defects found yet.READ MORE",5,2022,Positive
1201,Mind-blowing purchase,0.0,0.0,Jan,GoodREAD MORE,5,2022,Positive
1202,Perfect product!,0.0,0.0,Jan,NiceREAD MORE,5,2022,Positive
1203,Highly recommended,0.0,0.0,Jan,Original product...Worth for the moneyREAD MORE,5,2022,Positive
1204,Horrible,0.0,0.0,Jan,Bad productREAD MORE,1,2022,Negative
1205,Good choice,0.0,0.0,Jan,nice product and delivered on time....READ MORE,4,2022,Positive
1206,Fabulous!,0.0,0.0,Jan,NiceREAD MORE,5,2022,Positive
1207,Not recommended at all,0.0,0.0,Jan,Very bad shuttle..Broken very fastREAD MORE,1,2022,Negative
1208,Excellent,0.0,0.0,Jan,Nice helpful for my delay practice 👍👍👍👍READ MORE,5,2022,Positive
1209,Simply awesome,0.0,0.0,Jan,Nice oneREAD MORE,5,2022,Positive
1210,Really Nice,0.0,0.0,Jan,Good for itREAD MORE,4,2022,Positive
1211,Nice product,0.0,0.0,Jan,Good Enough.READ MORE,4,2022,Positive
1212,Simply awesome,0.0,0.0,Jan,NiceREAD MORE,5,2022,Positive
1213,Worth every penny,0.0,0.0,Jan,Very good product and the seller cooperation is wonderful 😊.READ MORE,5,2022,Positive
1214,Value-for-money,0.0,0.0,Jan,GoodREAD MORE,4,2022,Positive
1215,Fair,0.0,0.0,Jan,"Doesn't stays slow after 1 day of a game. Writes slow, doesn't stand a chanceREAD MORE",3,2022,Neutral
1216,Absolute rubbish!,0.0,0.0,Jan,"Bad product, bottom side quality is too bad,fake product , didn't expect from Yonex and FlipkartREAD MORE",1,2022,Negative
1217,Worth every penny,0.0,0.0,Jan,Excellent productREAD MORE,5,2022,Positive
1218,Awesome,0.0,0.0,Jan,Original and good quality...READ MORE,5,2022,Positive
1219,Worth the money,0.0,0.0,Jan,SuperbREAD MORE,4,2022,Positive
1220,Excellent,0.0,0.0,Jan,Nice ProductREAD MORE,5,2022,Positive
1221,Highly recommended,0.0,0.0,Jan,SuperREAD MORE,5,2022,Positive
1222,Good choice,0.0,0.0,Jan,Yonex std quality alwaysREAD MORE,4,2022,Positive
1223,Classy product,0.0,0.0,Jan,Very good nice quality 👍☺️👍☺️👍👍☺️☺️READ MORE,5,2022,Positive
1224,Just wow!,0.0,0.0,Jan,ExcellentREAD MORE,5,2022,Positive
1225,Great product,0.0,0.0,Jan,Very nice productREAD MORE,5,2022,Positive
1226,Wonderful,0.0,0.0,Jan,Outstanding shuttle osmm experience while playingREAD MORE,5,2022,Positive
1227,Worthless,0.0,0.0,Jan,Worst product. All shuttle break from cork.READ MORE,1,2022,Negative
1228,Just wow!,0.0,0.0,Jan,"This is even better than 2000. It's Cork is stronger and hence more durable. But in 2000, shuttle is better but it detaches itself easily from Cork and less durable.READ MORE",5,2022,Positive
1229,Just wow!,0.0,0.0,Jan,In time keep it upREAD MORE,5,2022,Positive
1230,Terrific,0.0,0.0,Jan,ExcellentREAD MORE,5,2022,Positive
1231,Brilliant,0.0,0.0,Jan,GoodREAD MORE,5,2022,Positive
1232,Good,0.0,0.0,Jan,NiceREAD MORE,3,2022,Neutral
1233,Classy product,0.0,0.0,Jan,Thanks Lot for Quick delivery. Nice experience.READ MORE,5,2022,Positive
1234,Brilliant,0.0,0.0,Jan,NiceREAD MORE,5,2022,Positive
1235,Best in the market!,0.0,0.0,Jan,Really niceREAD MORE,5,2022,Positive
1236,Could be way better,0.0,0.0,Jan,Out of 6 box one of the box is not good Its base is coming out in one game only just 15 mins game.It has happens for 4 shuttle of the se box.READ MORE,2,2022,Negative
1237,Wonderful,0.0,0.0,Jan,GoodREAD MORE,5,2022,Positive
1238,Fair,0.0,0.0,Jan,AwesomeREAD MORE,3,2022,Neutral
1239,Wonderful,0.0,0.0,Jan,"Quality and rates are very good, what else is required after thatREAD MORE",5,2022,Positive
1240,Brilliant,0.0,0.0,Jan,Awesome products.....but only problem is priceREAD MORE,5,2022,Positive
1241,Great product,0.0,0.0,Jan,Good product but it's price was so high...READ MORE,5,2022,Positive
1242,Pretty good,0.0,0.0,Jan,FineREAD MORE,4,2022,Positive
1243,Classy product,0.0,0.0,Jan,This time quality is best 🔥🔥READ MORE,5,2022,Positive
1244,Value-for-money,0.0,0.0,Jan,PerfectREAD MORE,4,2022,Positive
1245,Mind-blowing purchase,0.0,0.0,Jan,GoodREAD MORE,5,2022,Positive
1246,Very poor,0.0,0.0,Jan,Product Is Vey Much Bad ....And the price Dosn't Match With The quality ..very Bad productREAD MORE,1,2022,Negative
1247,Good,0.0,0.0,Jan,Good product but i was using mavis 350 so there is no compare but the shuttle is very weak.playing arround 30 mins the upper material got damagedREAD MORE,3,2022,Neutral
1248,Fabulous!,0.0,0.0,Jan,Very good shuttleREAD MORE,5,2022,Positive
1249,Did not meet expectations,0.0,0.0,Jan,Quality was not good....READ MORE,1,2022,Negative
1250,Great product,0.0,0.0,Dec,Super hitREAD MORE,5,2021,Positive
1251,Fair,0.0,0.0,Dec,I got the bad quality one 😢READ MORE,3,2021,Neutral
1252,Just wow!,0.0,0.0,Dec,GreatREAD MORE,5,2021,Positive
1253,Nice product,0.0,0.0,Dec,good productREAD MORE,4,2021,Positive
1254,Classy product,0.0,0.0,Dec,NiceREAD MORE,5,2021,Positive
1255,Utterly Disappointed,0.0,0.0,Dec,NycREAD MORE,1,2021,Negative
1256,Decent product,0.0,0.0,Dec,4 to 6 games only it will be new shuttle.. after that shuttle swinging irregularlyREAD MORE,3,2021,Neutral
1257,Utterly Disappointed,0.0,0.0,Dec,Worst quality... Shuttles are shaking while playing... Bad quality.READ MORE,1,2021,Negative
1258,Fair,0.0,0.0,Dec,"Best in market, but durability is less.READ MORE",3,2021,Neutral
1259,Terrible product,0.0,0.0,Dec,Worst on recent times.We played new Ball today.Two balls bottom tape were gone within 2 hours.I attach with image.The last two delivery was only worst.We are intermediate players and playing doubles.A single ball can stand atleast two day but last two delivery whole 6 balls were damaged within 3 days.READ MORE,1,2021,Negative
1260,Classy product,0.0,0.0,Dec,Good QualityREAD MORE,5,2021,Positive
1261,Value-for-money,0.0,0.0,Dec,Quality of product is very good but speed is very high.READ MORE,4,2021,Positive
1262,Nice,0.0,0.0,Dec,NiceREAD MORE,3,2021,Neutral
1263,Great product,0.0,0.0,Dec,Good productREAD MORE,5,2021,Positive
1264,Hated it!,0.0,0.0,Dec,"All the shuttle bottom got broken, waste of money..READ MORE",1,2021,Negative
1265,Best in the market!,0.0,0.0,Dec,NiceREAD MORE,5,2021,Positive
1266,Highly recommended,0.0,0.0,Dec,good product value of moneyREAD MORE,5,2021,Positive
1267,Fair,0.0,0.0,Dec,Not as good as per it's priceREAD MORE,1,2021,Negative
1268,Best in the market!,0.0,0.0,Dec,NiceREAD MORE,5,2021,Positive
1269,Worth every penny,0.0,0.0,Dec,Good and long lastingREAD MORE,5,2021,Positive
1270,Worst experience ever!,0.0,0.0,Dec,Worst product.it lasts only two days (each cork)READ MORE,1,2021,Negative
1271,Very poor,0.0,0.0,Dec,Not badREAD MORE,1,2021,Negative
1272,Mind-blowing purchase,0.0,0.0,Dec,Got few defective but then got replaced. Now these are very good to play.READ MORE,5,2021,Positive
1273,Slightly disappointed,0.0,0.0,Dec,Poor quality not byingREAD MORE,2,2021,Negative
1274,Simply awesome,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1275,Fabulous!,0.0,0.0,Dec,Best 👍👍👍👍READ MORE,5,2021,Positive
1276,Don't waste your money,0.0,0.0,Dec,Worst qualityREAD MORE,1,2021,Negative
1277,Terrific purchase,0.0,0.0,Dec,Nice shuttle for beginners to intermediate players. Very very good for practice.READ MORE,5,2021,Positive
1278,Don't waste your money,0.0,0.0,Dec,Product not good...READ MORE,1,2021,Negative
1279,Awesome,0.0,0.0,Dec,Good QualityREAD MORE,5,2021,Positive
1280,Simply awesome,0.0,0.0,Dec,BestREAD MORE,5,2021,Positive
1281,Absolute rubbish!,0.0,0.0,Dec,The quality was bad and it didn't lasted for even a month.READ MORE,1,2021,Negative
1282,Super!,0.0,0.0,Dec,Nice productREAD MORE,5,2021,Positive
1283,Could be way better,0.0,0.0,Dec,Quality is very poor...READ MORE,2,2021,Negative
1284,Worth every penny,0.0,0.0,Dec,Good productREAD MORE,5,2021,Positive
1285,Hated it!,0.0,0.0,Dec,Bad productREAD MORE,1,2021,Negative
1286,Nice,0.0,0.0,Dec,Much costlier in winter season.READ MORE,3,2021,Neutral
1287,Fabulous!,0.0,0.0,Dec,Amazing shuttlesREAD MORE,5,2021,Positive
1288,Brilliant,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1289,Highly recommended,0.0,0.0,Dec,NiceREAD MORE,5,2021,Positive
1290,Awesome,0.0,0.0,Dec,Awesome but price is very HighREAD MORE,5,2021,Positive
1291,Best in the market!,0.0,0.0,Dec,Too costly.Hardly lasts for a day.READ MORE,5,2021,Positive
1292,Just wow!,0.0,0.0,Dec,ExcellentREAD MORE,5,2021,Positive
1293,Expected a better product,0.0,0.0,Dec,Very BadShuttle broke after 1 gameREAD MORE,2,2021,Negative
1294,Perfect product!,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1295,Mind-blowing purchase,0.0,0.0,Dec,Good shuttlecockREAD MORE,5,2021,Positive
1296,Terrific,0.0,0.0,Dec,You did wonderful jobREAD MORE,5,2021,Positive
1297,Perfect product!,0.0,0.0,Dec,Good productREAD MORE,5,2021,Positive
1298,Very Good,0.0,0.0,Dec,Very good productREAD MORE,4,2021,Positive
1299,Must buy!,0.0,0.0,Dec,Good 👍👍👍READ MORE,5,2021,Positive
1300,Not recommended at all,0.0,0.0,Dec,"Don't buy this , it was a worst purchase ever. Can't play more than one game with this shuttleREAD MORE",1,2021,Negative
1301,Fabulous!,0.0,1.0,Dec,👍🏸🏸 shuttlecock with nice and long durability .its value for money🤑🤑🏸🏸🏸READ MORE,5,2021,Positive
1302,Terrific purchase,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1303,Mind-blowing purchase,0.0,0.0,Dec,Best shuttles for indoor gamesREAD MORE,5,2021,Positive
1304,Worthless,0.0,0.0,Dec,quality poorREAD MORE,1,2021,Negative
1305,Terrific,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1306,Wonderful,0.0,0.0,Dec,Very good product without any confusionREAD MORE,5,2021,Positive
1307,Must buy!,0.0,0.0,Dec,It's the s good qualityREAD MORE,5,2021,Positive
1308,Very poor,0.0,0.0,Dec,Quality of the product was too badREAD MORE,1,2021,Negative
1309,Highly recommended,0.0,0.0,Dec,Bad qualityREAD MORE,5,2021,Positive
1310,Wonderful,0.0,0.0,Dec,Wonderful product 👍👍READ MORE,4,2021,Positive
1311,Brilliant,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1312,Best in the market!,0.0,0.0,Dec,Good productREAD MORE,5,2021,Positive
1313,Delightful,0.0,0.0,Dec,Nice product. fast deliveryREAD MORE,4,2021,Positive
1314,Terrible product,0.0,0.0,Dec,Very bad quality shuttle Torn the mesh only within 3gamesREAD MORE,1,2021,Negative
1315,Worth every penny,0.0,0.0,Dec,It was originalREAD MORE,5,2021,Positive
1316,Perfect product!,0.0,0.0,Dec,Genuine product performed as expectedREAD MORE,5,2021,Positive
1317,Super!,0.0,0.0,Dec,full mostiREAD MORE,5,2021,Positive
1318,Worth every penny,0.0,0.0,Dec,Nice oneREAD MORE,5,2021,Positive
1319,Mind-blowing purchase,0.0,0.0,Dec,SuperREAD MORE,5,2021,Positive
1320,Fabulous!,0.0,0.0,Dec,Received the original product and it’s awesome.READ MORE,5,2021,Positive
1321,Highly recommended,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1322,Perfect product!,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1323,Fabulous!,0.0,0.0,Dec,OriginalREAD MORE,5,2021,Positive
1324,Bad quality,0.0,0.0,Dec,Base of shuttle is very low quality.READ MORE,2,2021,Negative
1325,Slightly disappointed,0.0,0.0,Dec,Quality not goodREAD MORE,2,2021,Negative
1326,Moderate,0.0,0.0,Dec,Bad colourREAD MORE,2,2021,Negative
1327,Classy product,0.0,0.0,Dec,Good qualityREAD MORE,5,2021,Positive
1328,Horrible,0.0,0.0,Dec,Not expected that yonex sales such default shuttlesREAD MORE,1,2021,Negative
1329,Really Nice,0.0,0.0,Dec,Orginal item goodREAD MORE,4,2021,Positive
1330,Mind-blowing purchase,0.0,0.0,Dec,Very good product One shuttle you have to play minimum ten gsmesREAD MORE,5,2021,Positive
1331,Value-for-money,0.0,0.0,Dec,BestREAD MORE,4,2021,Positive
1332,Moderate,0.0,0.0,Dec,"Really bad experience,,  some of them is very poor quality..  Don't go for itREAD MORE",2,2021,Negative
1333,Excellent,0.0,0.0,Dec,Super shuttleREAD MORE,5,2021,Positive
1334,Pretty good,0.0,0.0,Dec,It's awesomeREAD MORE,4,2021,Positive
1335,Highly recommended,0.0,0.0,Dec,SupportREAD MORE,5,2021,Positive
1336,Super!,0.0,0.0,Dec,Best shuttleREAD MORE,5,2021,Positive
1337,Just okay,0.0,0.0,Dec,Very bad quality and very high price not acceptable this range .READ MORE,3,2021,Neutral
1338,Excellent,0.0,0.0,Dec,PerfectREAD MORE,5,2021,Positive
1339,Brilliant,0.0,0.0,Dec,Nice productREAD MORE,5,2021,Positive
1340,Good choice,0.0,0.0,Dec,Very good product.READ MORE,4,2021,Positive
1341,Hated it!,0.0,0.0,Dec,All shuttles were too bad. They are breaking easily after 3-4 gamesREAD MORE,1,2021,Negative
1342,Could be way better,0.0,0.0,Dec,Quality of this  product purchased online is poor as compared to offline stores.👎🏼READ MORE,2,2021,Negative
1343,Does the job,0.0,0.0,Dec,Cork is slowREAD MORE,3,2021,Neutral
1344,Just okay,0.0,0.0,Dec,Not DurableREAD MORE,3,2021,Neutral
1345,Terrific purchase,0.0,0.0,Dec,Long lasts than other nylon shuttleREAD MORE,5,2021,Positive
1346,Fabulous!,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1347,Really Nice,0.0,0.0,Dec,Good 👍READ MORE,4,2021,Positive
1348,Awesome,0.0,0.0,Dec,ExcellentREAD MORE,5,2021,Positive
1349,Simply awesome,0.0,0.0,Dec,Genuine product and no used ones luckilyREAD MORE,5,2021,Positive
1350,Good,0.0,0.0,Dec,GoodREAD MORE,3,2021,Neutral
1351,Best in the market!,0.0,0.0,Dec,Good jobREAD MORE,5,2021,Positive
1352,Awesome,0.0,0.0,Dec,Very bad qualityREAD MORE,5,2021,Positive
1353,Good choice,0.0,0.0,Dec,NiceREAD MORE,4,2021,Positive
1354,Perfect product!,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1355,Just wow!,0.0,0.0,Dec,Thanks for delivery in timeREAD MORE,5,2021,Positive
1356,Simply awesome,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1357,Super!,0.0,0.0,Dec,GoodREAD MORE,5,2021,Positive
1358,Very Good,0.0,0.0,Dec,It's niceREAD MORE,4,2021,Positive
1359,Best in the market!,0.0,0.0,Dec,NiceREAD MORE,5,2021,Positive
1360,Best in the market!,0.0,0.0,Nov,Great stuff♥️READ MORE,5,2021,Positive
1361,Perfect product!,0.0,0.0,Nov,Nice tqREAD MORE,5,2021,Positive
1362,Must buy!,0.0,0.0,Nov,Long lastingREAD MORE,5,2021,Positive
1363,Super!,0.0,0.0,Nov,Good product but his price is very high...READ MORE,5,2021,Positive
1364,Terrific purchase,0.0,0.0,Nov,ExcellentREAD MORE,5,2021,Positive
1365,Simply awesome,0.0,0.0,Nov,NiceREAD MORE,5,2021,Positive
1366,Excellent,0.0,0.0,Nov,GoodREAD MORE,5,2021,Positive
1367,Classy product,0.0,0.0,Nov,NiceREAD MORE,5,2021,Positive
1368,Decent product,0.0,0.0,Nov,NiceREAD MORE,3,2021,Neutral
1369,Very Good,0.0,0.0,Nov,An original yonex shuttle. Decent price as compared to the market. Durability is not that much. It would hardly last 6-7 matches at max. But the flight path is very predictable and is a very good option and more durable in comparison to the feather shuttle.READ MORE,4,2021,Positive
1370,Awesome,0.0,0.0,Nov,Mind blowingREAD MORE,5,2021,Positive
1371,Does the job,0.0,0.0,Nov,Didn't last long. Normaly one shuttle is good for 3 day but this one work for 1 day only. And every time shuttle got destroyed it always got broke from from part only.READ MORE,3,2021,Neutral
1372,Brilliant,0.0,0.0,Nov,Very good.READ MORE,5,2021,Positive
1373,Best in the market!,0.0,0.0,Nov,Good one I like itREAD MORE,5,2021,Positive
1374,Brilliant,0.0,0.0,Nov,Very nice productsREAD MORE,5,2021,Positive
1375,Awesome,0.0,0.0,Nov,Got original productREAD MORE,5,2021,Positive
1376,Does the job,0.0,0.0,Nov,Little slow than normal shuttle.READ MORE,3,2021,Neutral
1377,Perfect product!,0.0,0.0,Nov,Well brandREAD MORE,5,2021,Positive
1378,Really Nice,0.0,0.0,Nov,Nice productREAD MORE,4,2021,Positive
1379,Awesome,0.0,0.0,Nov,This is my fourth order ...🥲🥲🥲 recieved 10 rupees shuttlesREAD MORE,5,2021,Positive
1380,Simply awesome,0.0,0.0,Nov,GoodREAD MORE,5,2021,Positive
1381,Really Nice,0.0,0.0,Nov,Good qualityREAD MORE,4,2021,Positive
1382,Excellent,0.0,0.0,Nov,Good productREAD MORE,5,2021,Positive
1383,Excellent,0.0,0.0,Nov,Good productREAD MORE,5,2021,Positive
1384,Not good,0.0,0.0,Nov,All got broken so soon.READ MORE,2,2021,Negative
1385,Wonderful,0.0,0.0,Nov,Good quality 👍READ MORE,5,2021,Positive
1386,Good choice,0.0,0.0,Nov,Good quality. Delivered on time .READ MORE,4,2021,Positive
1387,Perfect product!,0.0,0.0,Nov,Good productREAD MORE,5,2021,Positive
1388,Could be way better,0.0,0.0,Nov,Unlike my earlier purchases this is not even lasting for  2 days .READ MORE,2,2021,Negative
1389,Unsatisfactory,0.0,0.0,Nov,Low quality... don't buy online😖READ MORE,1,2021,Negative
1390,Terrific,0.0,0.0,Nov,Looks genuine with great qualityREAD MORE,5,2021,Positive
1391,Simply awesome,0.0,0.0,Nov,Good productREAD MORE,5,2021,Positive
1392,Expected a better product,0.0,0.0,Nov,Quality is very poor..READ MORE,2,2021,Negative
1393,Bad quality,0.0,0.0,Nov,No goodREAD MORE,2,2021,Negative
1394,Pretty good,0.0,0.0,Nov,SuperbREAD MORE,4,2021,Positive
1395,Decent product,0.0,0.0,Nov,GoodREAD MORE,3,2021,Neutral
1396,Nice,0.0,0.0,Nov,Good Product but Delivery is too late...READ MORE,3,2021,Neutral
1397,Awesome,0.0,0.0,Nov,This is the original product. Buy with no hesitationREAD MORE,5,2021,Positive
1398,Just wow!,0.0,0.0,Nov,Very nice and good quality service.....thanks flipkart and team.READ MORE,5,2021,Positive
1399,Pretty good,0.0,0.0,Nov,Super ❤️READ MORE,4,2021,Positive
1400,Nice product,0.0,0.0,Nov,GoodREAD MORE,4,2021,Positive
1401,Wonderful,0.0,0.0,Nov,FineREAD MORE,5,2021,Positive
1402,Super!,0.0,0.0,Nov,Too goodREAD MORE,5,2021,Positive
1403,Did not meet expectations,0.0,0.0,Nov,Bad product..... Waste of money😡Don't buy this productREAD MORE,1,2021,Negative
1404,Awesome,0.0,0.0,Nov,Very nice product.. Delivered in only 1 day.. Super super super 👍👍👍READ MORE,5,2021,Positive
1405,Fabulous!,0.0,0.0,Nov,SuperREAD MORE,5,2021,Positive
1406,Wonderful,0.0,0.0,Nov,Its good but slow moveREAD MORE,4,2021,Positive
1407,Mind-blowing purchase,0.0,0.0,Nov,SuperREAD MORE,5,2021,Positive
1408,Terrific purchase,0.0,0.0,Nov,Good boyREAD MORE,5,2021,Positive
1409,Wonderful,0.0,0.0,Nov,niceREAD MORE,5,2021,Positive
1410,Value-for-money,0.0,0.0,Nov,Very good qualityREAD MORE,4,2021,Positive
1411,Classy product,0.0,0.0,Nov,Original product.  Liked itREAD MORE,5,2021,Positive
1412,Fair,0.0,0.0,Nov,Durability is very poor in compare with before...READ MORE,3,2021,Neutral
1413,Good choice,0.0,0.0,Nov,GoodREAD MORE,4,2021,Positive
1414,Wonderful,0.0,0.0,Nov,This easy to playREAD MORE,5,2021,Positive
